establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
ecd9f4c8-0ed5-49d7-ac32-af12ca7a1758,MINESUP,OPENING_AUTHORIZATION,N°12/0397/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
5e68371f-ec1c-4299-9876-0e92048fdb63,MINESUP,CREATION_ORDER,n° 15 – 08884/L/MINESUP/SG/DDES/ESUP/SDA/GA du 15 sept 2015.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
5e68371f-ec1c-4299-9876-0e92048fdb63,MINESUP,OPENING_AUTHORIZATION,n° 17 – 08116/ MINESUP/SG/DDES/ESUP/SDA/MM du 04 out 2017.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
251b0eb7-35ff-4e42-ae4d-8a7ea13413a8,MINESUP,CREATION_ORDER,N°16-00962/L/MINESUP/SG/DDES/ESUP/SDA/NJN du 02 février 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
251b0eb7-35ff-4e42-ae4d-8a7ea13413a8,MINESUP,OPENING_AUTHORIZATION,N°16-00962/L/MINESUP/SG/DDES/ESUP/SDA/NJN du 02 février 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
26d2c190-26a0-45dd-bce5-d555fb581828,MINESUP,CREATION_ORDER,N°11/0512/MINESUP du  05 octobre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
26d2c190-26a0-45dd-bce5-d555fb581828,MINESUP,OPENING_AUTHORIZATION,N°13/0592/MINESUP du 02 décembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a8fa62b6-65e3-4e31-ae10-1e8cf79e715d,MINESUP,CREATION_ORDER,N°11/0030/MINESUP  du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a8fa62b6-65e3-4e31-ae10-1e8cf79e715d,MINESUP,OPENING_AUTHORIZATION,N°11/0049/MINESUP du 12 janvier 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e143157f-6ad0-4f08-b453-49b3592d6e68,MINESUP,CREATION_ORDER,N°17-09460/L/MINESUP/SG/DDES/ESUP/SDA/OAGS  du 20 septembre 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e143157f-6ad0-4f08-b453-49b3592d6e68,MINESUP,OPENING_AUTHORIZATION,N°17-09460/L/MINESUP/SG/DDES/ESUP/SDA/OAGS  du 20 septembre 201,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2e3df645-0716-46a3-bac0-9c8161e63b83,MINESUP,CREATION_ORDER,N°16-10473/L/MINESUP/SG/DDES/ESUP/SDA/AEO du 09 septembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2e3df645-0716-46a3-bac0-9c8161e63b83,MINESUP,OPENING_AUTHORIZATION,N°16-10473/L/MINESUP/SG/DDES/ESUP/SDA/AEO du 09 septembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
1e4acbae-072d-4407-8c91-7fec5c86d1e6,MINESUP,CREATION_ORDER,N°07/0019/MINESUP du,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
1e4acbae-072d-4407-8c91-7fec5c86d1e6,MINESUP,OPENING_AUTHORIZATION,N°07/0020/MINESUP du 26 février 2007,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2ad146c9-054a-4358-9a06-303bacdd401b,MINESUP,CREATION_ORDER,N°17-08838/L/MINESUP/SG/DDES/ESUP/OPC du 31 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
